post_id,date,id,username,text,emoji,emoji_flag,pos,neg,neu,compound
2714737715189847981,2021-11-25 12:06:52,17920397863932145,chillhihi_715,好可愛❤️😍,❤😍,1,0.643,0.0,0.357,0.802
2714737715189847981,2021-11-25 12:07:34,17949462172592069,shirley__0122,二伯很可愛😍😍,😍😍,1,0.5,0.0,0.5,0.7184
2714737715189847981,2021-11-25 12:07:38,17878235780597433,yje11082,二伯太美了😍🔥❤️,😍🔥❤,1,0.529,0.176,0.294,0.7003
2714737715189847981,2021-11-25 12:08:00,18101035180282801,wuyoyo0124,大都會公園欸👀,👀,1,0.0,0.0,1.0,0.0
2714737715189847981,2021-11-25 12:09:33,18134899741245251,j016056,😂😂😂😂😂,😂😂😂😂😂,1,0.437,0.218,0.345,0.926
2714737715189847981,2021-11-25 12:11:41,17930282086760877,ka__fan,😍,😍,1,0.5,0.0,0.5,0.4588
2714737715189847981,2021-11-25 12:12:03,17865549101600934,lily771111,二伯這次染的這個髮色好好看~,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 12:12:54,17922876379970306,888iris,💗👍👍👍,💗👍👍👍,1,0.496,0.0,0.504,0.7096
2714737715189847981,2021-11-25 12:16:10,17906982302161031,lifekid_666,😂😂,😂😂,1,0.437,0.218,0.345,0.7003
2714737715189847981,2021-11-25 12:16:29,17867226566592167,sofiahuang990329,舉手~想問衣服~~😍😍😍,😍😍😍,1,0.5,0.0,0.5,0.8402
2714737715189847981,2021-11-25 12:17:03,17941278355624508,szuchi_0426,二伯穿搭好好看😍,😍,1,0.5,0.0,0.5,0.4588
2714737715189847981,2021-11-25 12:18:11,17898563234397570,lingling_1999,這是三重提防～,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 12:33:00,17979151069442444,gina990606,超美的～～～～～～～髮色很好看耶！！請問要漂嗎？,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 12:33:48,17931032248869052,royomet,二伯好漂亮唷❤️❤️,❤❤,1,0.808,0.0,0.192,0.8555
2714737715189847981,2021-11-25 12:46:52,18023975080328516,a780503,美美的二伯,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 13:05:22,17928005974819136,mcvs10105,漂亮,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 13:31:49,17889433100448510,abby.0930,❤️❤️❤️❤️❤️❤️❤️,❤❤❤❤❤❤❤,1,0.808,0.0,0.192,0.9854
2714737715189847981,2021-11-25 13:35:53,18198314452189917,hao_lun_hsu,真少女，就像小孩的姊姊，以及把小孩帶出來的阿嘎爸爸🤣,🤣,1,0.444,0.0,0.556,0.4939
2714737715189847981,2021-11-25 13:38:55,18193555306133598,dairoushi,二伯不像是2個孩子的媽媽，年輕又漂亮，❤️❤️,❤❤,1,0.808,0.0,0.192,0.8555
2714737715189847981,2021-11-25 13:42:43,18019416547318219,t.t.lin,背心好看,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 13:45:38,18178001836087126,liou0589,二伯真的很美，漂亮年輕辣媽～,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 13:47:26,18192755995126898,huang_uongen12,大都會公園😄😄,😄😄,1,0.647,0.0,0.353,0.875
2714737715189847981,2021-11-25 14:14:21,18089228281303012,hre2kmg,那個包包有賣嗎？,,0,0.0,0.0,0.0,0.0
2714737715189847981,2021-11-25 14:24:13,18267107311041451,lion._.lisa,🙌🙌🙌,🙌🙌🙌,1,0.0,0.0,1.0,0.0
2714737715189847981,2021-11-25 14:47:36,18019525306339175,nnsne5566,辣媽😍😍😍兩個兒子,😍😍😍,1,0.5,0.0,0.5,0.8402
2714737715189847981,2021-11-25 18:34:49,17897109443328799,yusung1106,求二伯長版襯衫連結🔗好好看❤️,🔗❤,1,0.677,0.0,0.323,0.6369
2714737715189847981,2021-11-25 23:55:20,18178099003092687,conniecoy,宗𨌺😂😂😂,😂😂😂,1,0.437,0.218,0.345,0.8271
2714735450530389672,2021-11-25 12:03:54,17872106054555585,02.13love7,舅舅要陷害別人卻先跌倒😂,😂,1,0.437,0.218,0.345,0.4404
2714735450530389672,2021-11-25 12:04:08,17897668541419954,yichen877,😍😍😍😍😍,😍😍😍😍😍,1,0.5,0.0,0.5,0.9325
2714735450530389672,2021-11-25 12:04:39,17867239388626337,yje11082,北港F4太可愛了😍❤️,😍❤,1,0.643,0.0,0.357,0.802
2714735450530389672,2021-11-25 12:04:50,17864065775636003,cheng_7.17,好可愛天啊😍😍❤️,😍😍❤,1,0.593,0.0,0.407,0.8807
2714735450530389672,2021-11-25 12:04:54,17896976756439865,shirley__0122,可愛😍,😍,1,0.5,0.0,0.5,0.4588
2714735450530389672,2021-11-25 12:05:49,18242746237073055,0407.tim,F5在肚子了嗎😂,😂,1,0.437,0.218,0.345,0.4404
2714735450530389672,2021-11-25 12:09:58,17906149700174817,j016056,😂😂😂😂,😂😂😂😂,1,0.437,0.218,0.345,0.891
2714735450530389672,2021-11-25 12:11:49,18022529338329255,ka__fan,😍,😍,1,0.5,0.0,0.5,0.4588
2714735450530389672,2021-11-25 12:26:15,17898951944309544,candylee0518,超級可愛的北港F4.😍❤️❤️❤️,😍❤❤❤,1,0.722,0.0,0.278,0.9485
2714735450530389672,2021-11-25 12:26:38,17872747460613788,jan55323,要小心吖,,0,0.0,0.0,0.0,0.0
2714735450530389672,2021-11-25 12:27:55,18143319802208048,htwhsieh,太可愛啦😍,😍,1,0.5,0.0,0.5,0.4588
2714735450530389672,2021-11-25 12:28:44,17929105834789936,a0966306071,阿嘎，現在IG多了這個叫什麼功能呢，連動發文的功能嗎，因為你的名字旁邊有二伯的名字呢，阿嘎，你怎麼沒有跟二伯他們一起回去北港過中秋節阿，很好玩內，貴貴跟阿波應該很久沒看到小龍跟小熊了吧，一定很開心，尤其是阿波，又可以跟小龍一起玩了呢，阿嘎，貴貴跟阿波，還有小龍跟小熊，北港F4，他們4個都在慢慢長大中呢，希望他們4個長大後，還是永遠的好兄弟喔,,0,0.0,0.0,0.0,0.0
2714735450530389672,2021-11-25 12:30:43,17888763476524198,justin_wang_1129,真的太可愛了😂😍,😂😍,1,0.463,0.129,0.408,0.7096
2714735450530389672,2021-11-25 12:33:20,18266372032061225,lusean891210,北港飛輪海,,0,0.0,0.0,0.0,0.0
2714735450530389672,2021-11-25 13:09:08,18140746585235868,irene_lee0206,👏👏👏❤️❤️❤️,👏👏👏❤❤❤,1,0.583,0.0,0.417,0.9274
2714735450530389672,2021-11-25 13:09:14,17854925885662780,pan_su_e,😍😍😍,😍😍😍,1,0.5,0.0,0.5,0.8402
2714735450530389672,2021-11-25 13:34:54,18194809771135001,fly629223,跌倒那個好笑😂,😂,1,0.437,0.218,0.345,0.4404
2714735450530389672,2021-11-25 13:53:03,18271109026007328,sinyi1116,舅舅好好笑😆,😆,1,0.556,0.0,0.444,0.3612
2714735450530389672,2021-11-25 14:23:52,17904031895199005,hui_yu_hung,跌倒看的我快心臟無力，很怕二伯受傷,,0,0.0,0.0,0.0,0.0
2714735450530389672,2021-11-25 14:25:43,17893544486359533,lion._.lisa,😍😍😍,😍😍😍,1,0.5,0.0,0.5,0.8402
2714735450530389672,2021-11-25 15:14:05,17891022926418486,wh02019,大久糾摔的不輕啊！,,0,0.0,0.0,0.0,0.0
2714735450530389672,2021-11-25 16:48:07,18138706993245401,xx.___.zz,❤️❤️❤️,❤❤❤,1,0.808,0.0,0.192,0.9274
2714735450530389672,2021-11-25 17:34:10,18189339604176140,gabrielle.jr,滿滿的愛和笑料啊哈哈哈哈❤️❤️,❤❤,1,0.808,0.0,0.192,0.8555
2714735450530389672,2021-11-25 18:36:46,18262423009037394,qqyihsin,桃貴騎車的表情很像啊嘎,,0,0.0,0.0,0.0,0.0
2714735450530389672,2021-11-25 23:17:11,17936447926741343,be.a.cool.guy,大九糾那段我會笑死,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 11:53:40,17911935914284584,mcvs10105,漂亮,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 11:55:25,17914772843033370,layla_kuo,"Disney+棒棒！！！大推推～～～
超愛 超喜歡 一大堆回憶殺 不同時期看有不同的感動 每天看到捨不得關 捨不得睡😂🥰❤️😍👍🏻",😂🥰❤😍👍🏻,1,0.52,0.054,0.426,0.9545
2714704961886214739,2021-11-25 13:22:18,17894810567511128,fanny7569,我我我 我超愛看迪士尼的卡通❤️❤️❤️❤️,❤❤❤❤,1,0.808,0.0,0.192,0.9571
2714704961886214739,2021-11-25 13:27:55,18263265811020878,kaku.leeee,@qwaszx_167 @iu.iu918 @ppap.0410,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 13:28:18,17843275103694051,kaku.leeee,@dragonbear19 有靈魂急轉彎😍,😍,1,0.5,0.0,0.5,0.4588
2714704961886214739,2021-11-25 13:28:48,17875839551528012,yuhan19981102,🔥🔥🔥🔥,🔥🔥🔥🔥,1,0.0,1.0,0.0,-0.8225
2714704961886214739,2021-11-25 13:29:07,17900118035292532,yuhan19981102,我也有追👏,👏,1,0.0,0.0,1.0,0.0
2714704961886214739,2021-11-25 13:29:20,17913945761146081,yuhan19981102,很好哭😢😢😢,😢😢😢,1,0.0,0.756,0.244,-0.8519
2714704961886214739,2021-11-25 13:29:41,17915343164144929,yuhan19981102,原本還在考慮 今天馬上買,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 13:29:55,17920967416900737,kaku.leeee,@fanny7569 😍😍😍+1,😍😍😍,1,0.5,0.0,0.5,0.8402
2714704961886214739,2021-11-25 13:30:32,18011900917359878,candyyy2233,@mhe_1130_ @tsaijiegrace 真的不買嗎？😂,😂,1,0.437,0.218,0.345,0.4404
2714704961886214739,2021-11-25 13:31:03,17919816923076721,candyyy2233,有燒🔥,🔥,1,0.0,1.0,0.0,-0.34
2714704961886214739,2021-11-25 13:31:25,18201984790136291,yuhan19981102,想知道可以同時幾個人分享？,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 13:31:59,17845716929684593,john19650903,漫威也很讚👍,👍,1,0.0,0.0,1.0,0.0
2714704961886214739,2021-11-25 13:32:15,17965413793491403,john19650903,@yuhan19981102 好像是4個？,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 13:32:33,17991500854393983,candyyy2233,二伯手機跟我一樣,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 13:33:03,17871545420616199,game.lui,我都用我哥的帳號哈哈😄,😄,1,0.647,0.0,0.353,0.6705
2714704961886214739,2021-11-25 13:33:20,18142664653228656,john19650903,@mcvs10105 是說二伯嗎,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 13:33:29,17952585019573141,john19650903,@layla_kuo 😍😍😍😍,😍😍😍😍,1,0.5,0.0,0.5,0.9001
2714704961886214739,2021-11-25 13:34:06,17907843257138194,chenmei890503,@plumage_mayday @eric_yang0522,,0,0.0,0.0,0.0,0.0
2714704961886214739,2021-11-25 13:34:27,18097782136286369,chenmei890503,@kaku.leeee 我三刷😻,😻,1,0.429,0.0,0.571,0.4588
2714704961886214739,2021-11-25 13:34:53,18246917167077473,game.lui,@_ctt._.12y @j.___h22 要嗎,,0,0.0,0.0,0.0,0.0
