kol_username,post_id,likes_count,comments_count,tags,time,videos,images
2uncle987,2714737715189847981,22855,27,['媽媽人生'],2021-11-25 12:06:16,0,6
2uncle987,2714735450530389672,15038,25,"['完整版影片在二伯的YouTube頻道喔', '限動有影片連結']",2021-11-25 12:02:29,1,0
2uncle987,2714704961886214739,18408,58,"['隨時打開新的我', 'DisneyPlus', '我要DisneyPlus帶我']",2021-11-25 11:01:11,0,4
2uncle987,2714036526479360974,41040,80,['超直男很難溝通耶哈哈哈'],2021-11-24 12:53:07,0,5
2uncle987,2713308846545097101,37847,20,['真的是好累不想要再一次了哈哈哈'],2021-11-23 12:47:21,0,1
2uncle987,2712597296846768183,24560,2630,"['可以到FB社團跟著嘎嫂二伯一起買買買選購', '留言抽獎跟大家分享', '留言就可以抽了喔1126抽獎', '我準備了五罐淨化液來抽獎給大家試用看看', '市面上最低價優惠', '沒有用FB的可以私訊我要網址喔']",2021-11-22 13:13:38,0,1
2uncle987,2711826428046800123,41810,31,"['媽媽的碎念', '一起成長的日子']",2021-11-21 11:42:03,1,3
2uncle987,2710356998511028068,55621,43,"['小時候我們一起玩', '結果一個聊天太爽就烤焦了', '長大我們的孩子一起玩']",2021-11-19 11:02:33,0,4
2uncle987,2708952516539606722,32680,44,[],2021-11-17 12:32:06,0,5
2uncle987,2708199522026101007,56910,179,"['基因騙不了人的', '最後一張一定要看', '是遺傳可怕還是同天生日可怕']",2021-11-16 11:36:02,0,4
1006nk,2714639154737671986,41663,232,[],2021-11-25 08:50:26,0,1
1006nk,2705882341372559233,76591,395,[],2021-11-13 06:52:13,0,1
1006nk,2705224755534816970,6478,4,"['第2屆環境地圖創作徵選活動', '環境探險家', '小小畢卡索']",2021-11-12 09:05:42,0,1
1006nk,2704373343418611076,8490,127,[],2021-11-11 04:56:06,1,0
1006nk,2695846385532368493,23833,54,[],2021-10-30 10:32:34,0,1
1006nk,2694229240101127740,24957,56,[],2021-10-28 04:59:35,0,1
1006nk,2692152131581897900,22116,109,[],2021-10-25 08:12:44,0,1
1006nk,2691294049090722860,22874,43,[],2021-10-24 03:47:53,0,1
1006nk,2690590577303457365,7884,19,"['來復易Lady', '女性漏尿專用棉墊', '來復易Lady吸水淨爽', '吸水淨爽']",2021-10-23 04:30:12,0,5
1006nk,2689910200653918753,25518,514,[],2021-10-22 05:59:21,1,0
riceandshine.co,2714816559804807016,54294,102,['1000daysriceandshine'],2021-11-25 14:46:21,1,0
riceandshine.co,2714088347722102173,65584,173,['1000daysriceandshine'],2021-11-24 14:44:47,1,0
riceandshine.co,2713338670961741539,85705,269,['1000daysriceandshine'],2021-11-23 13:49:59,1,0
riceandshine.co,2712635295769057877,77525,99,['1000daysriceandshine'],2021-11-22 14:35:43,1,0
riceandshine.co,2711873141163998016,122894,1736,['1000daysriceandshine'],2021-11-21 13:26:05,1,0
riceandshine.co,2711168738912230848,56548,106,"['咖啡覺醒', '1000daysriceandshine', '暖心冬日漫遊', 'OATLYTW', '我們一起奶', '台灣國際咖啡展']",2021-11-20 14:00:44,1,0
riceandshine.co,2710448378663007121,86617,291,"['台灣大哥大請你看更划算', 'DisneyPlus就在台灣大哥大', 'DisneyPlus獨家5G夢幻方案', '1000daysriceandshine']",2021-11-19 14:04:07,1,2
riceandshine.co,2709730486736958962,78015,191,['1000daysriceandshine'],2021-11-18 14:25:01,1,0
